Production,Units
None,0
Drone,1
Overlord,1
Drone,1
Drone,1
Hatch,1
Drone,1
Drone,1
Drone,1
Extractor,1
Spawning_Pool,1
Drone,1
Drone,1
Ling,2
Overlord,1
Queen,2
Drone,2
Metabolic_Boost,1
Hatch,1
Lurker,8
Swarm_Host,7
Drone,1
Bane_Nest,1
Ling,2
Overlord,1
Ling,4
Ling,4
Ling,12
Overlord,1
Drone,1
Drone,2
Bane,1
Drone,4
Drone,2
Overlord,1
Queen,1
Drone,1
Queen,1
Drone,1
Ling,4
Evo_Chamber,1
Ling,2
Ling,4
Overlord,1
Ling,2
Ling,4
Spine_Crawler,1
Bane,2
Ling,2
Ling,4
Drone,4
Carapace_Upgrade,1
Drone,1
Drone,2
Bane,2
Drone,1
Roach_Warren,1
Extractor,8
Drone,1
Hatch,1
Drone,1
Drone,2
Creep_Tumor,1
Overlord,1
Overlord,1
Ling,14
Roach,1
Ling,2
Lair,1
Bane,1
Roach,2
Bane,1
Roach,3
Ling,4
Evo_Chamber,1
Roach,1
Queen,1
Extractor,1
Bane,2
Ling,6
Extractor,1
Roach,1
Seismic_Spines,1
Roach,1
Queen,1
Ling,4
Ling,2
Roach,1
Roach,1
Drone,4
Glial_Reconstitution,1
Hatch,1
Creep_Tumor,1
Roach,2
Queen,1
Drone,2
Missile_Attacks,1
Overlord,1
Overseer,1
Roach,1
Roach,1
Overlord,1
Drone,2
Overlord,1
Roach,1
Drone,3
Creep_Tumor,1
Spire,1
Drone,1
Evo_Chamber,1
Bane,4
Drone,1
Drone,3
Drone,1
Extractor,2
Roach,1
Drone,2
Roach,1
Creep_Tumor,1
Overlord,1
Drone,1
Roach,4
Overlord,1
Roach,1
Drone,1
Overlord,1
Missile_Attacks,1
Muta,4
Drone,1
Muta,1
Roach,4
Creep_Tumor,1
Queen,1
Hatch,1
Roach,2
Overlord,1
Roach,3
Overlord,1
Roach,1
Creep_Tumor,1
Ravager,4
Overlord,1
Roach,3
Roach,1
Ravager,1
Overseer,1
Infestation_Pit,1
Drone,1
Roach,6
Ravager,2
Drone,3
Hive,1
Drone,4
Extractor,2
Roach,4
Ravager,2
Roach,7
Overseer,2
Spine_Crawler,1
Spore_Crawler,1
Pneumatized_Carapace,1
Seismic_Spines,2
Spine_Crawler,1
Spore_Crawler,1
Hatch,1
Viper,3
Hatch,1
Roach_Warren,1
Hatch,1
Drone,4
Viper,4
Overseer,1
Drone,4
Drone,3
Overseer,1
Roach,4
Missile_Attacks,1
Carapace_Upgrade,1
Creep_Tumor,1
Metabolic_Boost,1
Extractor,1
Drone,2
Roach,2
Roach,3
Roach,15
Overlord,1
Muta,3
Roach,2
Queen,1
Roach,1
Roach,1
Drone,2
Roach,1
Ravager,9
Drone,1
Queen,1
Drone,1
Drone,1
Queen,1
Ravager,4
Drone,1
Hatch,1
Drone,5
Drone,1
Roach,5
Roach,3
Roach,3
Roach,3
Drone,6
Drone,2
Overseer,1
Drone,1
Drone,2
Drone,3
Extractor,2
Ravager,1
Drone,2
Creep_Tumor,1
Drone,2
Drone,1
Drone,1
Muscular_Augments,1
Drone,2
Extractor,1
Drone,6
Overlord,1
Viper,1
Overlord,1
Evo_Chamber,1
Hatch,1
Drone,5
Viper,3
Missile_Attacks,1
Viper,2
Overlord,1
Drone,3
Overlord,1
Evo_Chamber,2
Hydra,7
Evo_Chamber,1
Lurker_Den,1
Drone,2
Metabolic_Boost,1
Drone,3
Creep_Tumor,1
Overseer,1
Creep_Tumor,1
Carapace_Upgrade,8
Creep_Tumor,1
Hatch,1
Carapace_Upgrade,1
Drone,2
Extractor,2
Drone,1
Seismic_Spines,1
Drone,9
Creep_Tumor,1
Spine_Crawler,2
Spore_Crawler,3
Creep_Tumor,1
Overseer,3
Drone,3
Hydra,1
Grooved_Spines,1
Adaptive_Talons,1
Hydra,13
Overlord,1
Ravager,8
Lurker,7
Overseer,1
Overlord,1
Queen,1
Hydra,8
Roach,3
Queen,1
Lurker,5
Lurker,4
Roach,1
Roach,1
