Production,Units
None,0
Drone,1
Overlord,1
Drone,1
Drone,1
Hatch,1
Drone,1
Drone,1
Drone,1
Extractor,1
Spawning_Pool,1
Drone,1
Drone,1
Overlord,1
Queen,1
Ling,4
Queen,1
Drone,2
Hatch,1
Spore_Crawler,1
Creep_Tumor,1
Metabolic_Boost,1
Overlord,1
Drone,1
Drone,2
Queen,1
Creep_Tumor,1
Drone,1
Queen,1
Overlord,1
Creep_Tumor,1
Drone,1
Drone,1
Overlord,1
Ling,8
Drone,2
Creep_Tumor,1
Drone,1
Creep_Tumor,1
Queen,1
Creep_Tumor,1
Creep_Tumor,3
Creep_Tumor,2
Ling,4
Creep_Tumor,1
Overlord,1
Queen,1
Creep_Tumor,1
Ling,2
Drone,2
Overlord,1
Creep_Tumor,2
Drone,2
Creep_Tumor,2
Overlord,1
Queen,1
Drone,1
Drone,1
Queen,1
Lair,1
Overlord,1
Creep_Tumor,1
Spore_Crawler,1
Extractor,1
Bane_Nest,1
Drone,1
Spore_Crawler,2
Creep_Tumor,2
Drone,3
Creep_Tumor,2
Drone,3
Creep_Tumor,1
Creep_Tumor,3
Creep_Tumor,1
Drone,1
Ling,2
Creep_Tumor,1
Drone,1
Ling,4
Queen,1
Drone,3
Overlord,1
Creep_Tumor,3
Creep_Tumor,1
Drone,2
Queen,1
Extractor,2
Drone,1
Overseer,1
Centrifugal_Hooks,1
Seismic_Spines,7
Ling,2
Hatch,1
Drone,6
Creep_Tumor,1
Evo_Chamber,2
Queen,1
Drone,2
Creep_Tumor,6
Creep_Tumor,1
Spore_Crawler,2
Drone,7
Overlord,3
Overseer,1
Overlord,1
Ling,2
Creep_Tumor,1
Spore_Crawler,1
Melee_Attacks,1
Carapace_Upgrade,1
Ling,2
Creep_Tumor,3
Ling,14
Centrifugal_Hooks,1
Creep_Tumor,3
Bane,1
Ling,2
Overlord,1
Bane,4
Hatch,1
Ling,12
Creep_Tumor,1
Queen,1
Creep_Tumor,3
Ling,4
Drone,4
Ling,8
Spore_Crawler,1
Creep_Tumor,3
Creep_Tumor,5
Bane,18
Creep_Tumor,3
Ling,12
Creep_Tumor,4
Overlord,1
Ling,4
Creep_Tumor,1
Overlord,1
Ling,2
Overlord,1
Ling,12
Infestation_Pit,1
Creep_Tumor,4
Creep_Tumor,3
Ling,12
Bane,11
Ling,2
Ling,4
Bane,2
Ling,2
Ling,6
Ling,16
Ling,6
Carapace_Upgrade,1
Melee_Attacks,1
Ling,2
Creep_Tumor,2
Creep_Tumor,1
Ling,6
Creep_Tumor,1
Hive,1
Drone,2
Bane,7
Extractor,1
Ling,2
Bane,2
Creep_Tumor,2
Extractor,1
Creep_Tumor,1
Drone,2
Queen,1
Creep_Tumor,3
Ling,8
Carapace_Upgrade,1
Drone,1
Creep_Tumor,2
Overlord,1
Creep_Tumor,1
Ling,16
Drone,2
Drone,3
Metabolic_Boost,1
Drone,3
Creep_Tumor,2
Extractor,1
Creep_Tumor,2
Extractor,1
Ling,8
Queen,1
Ling,2
Bane,15
Ling,4
Ling,2
Creep_Tumor,2
Overlord,1
Ling,14
Spore_Crawler,1
Drone,6
Bane,12
Ling,8
Viper,2
Ling,2
Queen,3
Ling,6
Ling,10
Ling,2
Bane,10
Ling,18
Queen,1
Ling,6
Ling,6
Bane,18
Ling,8
Ling,8
Ling,2
Bane,7
Ling,4
Ling,10
Ling,2
