Production,Units
None,0
Drone,1
Overlord,1
Drone,1
Drone,2
Hatch,1
Drone,1
Drone,1
Drone,1
Extractor,1
Spawning_Pool,1
Drone,1
Drone,1
Drone,1
Drone,1
Overlord,1
Ling,4
Queen,1
Queen,1
Drone,1
Metabolic_Boost,1
Drone,2
Drone,1
Bane_Nest,1
Overlord,1
Queen,1
Drone,1
Hatch,1
Ling,4
Creep_Tumor,1
Ling,2
Ling,2
Drone,3
Overlord,1
Drone,1
Bane,1
Ling,2
Bane,1
Creep_Tumor,1
Drone,2
Evo_Chamber,1
Drone,1
Overlord,1
Extractor,1
Bane,1
Drone,5
Overlord,1
Roach_Warren,1
Missile_Attacks,1
Bane,3
Drone,3
Ling,2
Queen,1
Drone,3
Creep_Tumor,1
Overlord,1
Lair,1
Ling,2
Drone,5
Drone,1
Creep_Tumor,1
Drone,3
Overlord,1
Extractor,1
Roach,4
Overlord,1
Spine_Crawler,1
Bane,2
Roach,2
Spine_Crawler,1
Roach,1
Bane,2
Roach,3
Roach,1
Overlord,1
Ling,4
Overlord,1
Roach,3
Extractor,1
Muscular_Augments,8
Roach,1
Queen,1
Roach,1
Creep_Tumor,1
Carapace_Upgrade,35
Roach,1
Ling,4
Overlord,1
Roach,2
Lair,1
Drone,6
Overlord,1
Drone,1
Overlord,1
Roach,2
Extractor,1
Carapace_Upgrade,1
Creep_Tumor,1
Drone,1
Roach,4
Roach,3
Roach,2
Drone,1
Overlord,1
Ling,4
Queen,1
Glial_Reconstitution,1
Queen,1
Ling,10
Overlord,1
Roach,1
Queen,1
Creep_Tumor,1
Roach,2
Roach,1
Roach,3
Overlord,1
Roach,1
Overlord,1
Creep_Tumor,1
Overlord,1
Roach,2
Overlord,1
Roach,4
Roach,5
Roach,1
Overseer,1
Roach,10
Roach,1
Roach,2
Missile_Attacks,1
Queen,1
Extractor,1
Overseer,1
Roach,2
Overseer,1
Roach,1
Roach,1
Ravager,2
Roach,1
Hatch,1
Roach,1
Roach,3
Roach,2
Roach,2
