Production,Units
None,0
Drone,1
Overlord,1
Drone,1
Drone,1
Hatch,1
Drone,1
Drone,1
Drone,1
Extractor,1
Spawning_Pool,1
Drone,1
Drone,1
Drone,1
Ling,4
Queen,2
Overlord,1
Drone,1
Extractor,1
Metabolic_Boost,1
Hatch,1
Drone,1
Creep_Tumor,1
Drone,1
Queen,1
Overlord,1
Drone,1
Creep_Tumor,1
Overlord,1
Creep_Tumor,1
Drone,4
Queen,1
Drone,1
Ling,4
Creep_Tumor,2
Creep_Tumor,1
Drone,2
Overlord,1
Creep_Tumor,2
Queen,1
Drone,2
Ling,2
Drone,2
Ling,2
Queen,1
Overlord,1
Creep_Tumor,1
Drone,3
Creep_Tumor,3
Overlord,1
Queen,1
Ling,2
Ling,4
Drone,4
Creep_Tumor,1
Drone,1
Extractor,1
Lair,1
Creep_Tumor,1
Drone,1
Bane_Nest,1
Creep_Tumor,3
Ling,2
Creep_Tumor,2
Ling,6
Spore_Crawler,1
Drone,1
Creep_Tumor,3
Creep_Tumor,3
Queen,1
Creep_Tumor,4
Creep_Tumor,1
Drone,1
Hatch,1
Overlord,2
Creep_Tumor,1
Spore_Crawler,1
Drone,1
Extractor,1
Creep_Tumor,1
Drone,2
Extractor,2
Creep_Tumor,1
Creep_Tumor,3
Centrifugal_Hooks,1
Drone,5
Overlord,1
Drone,2
Creep_Tumor,2
Evo_Chamber,2
Drone,1
Creep_Tumor,1
Flyer_Attacks,7
Creep_Tumor,5
Drone,1
Overlord,1
Creep_Tumor,2
Hatch,1
Overlord,1
Bane,6
Melee_Attacks,1
Carapace_Upgrade,1
Bane,2
Creep_Tumor,5
Ling,12
Ling,2
Creep_Tumor,2
Overlord,2
Queen,1
Ling,6
Drone,1
Creep_Tumor,2
Overlord,1
Drone,1
Creep_Tumor,1
Ling,8
Creep_Tumor,1
Ling,4
Metabolic_Boost,1
Drone,1
Ling,6
Creep_Tumor,1
Ling,10
Creep_Tumor,2
Drone,1
Bane,4
Ling,4
Overlord,1
Overseer,1
Queen,1
Creep_Tumor,2
Drone,3
Creep_Tumor,3
Queen,1
Grooved_Spines,1
Carapace_Upgrade,1
Creep_Tumor,3
Creep_Tumor,6
Spore_Crawler,1
Melee_Attacks,1
Ling,14
Ling,6
Pneumatized_Carapace,1
Overlord,1
Creep_Tumor,2
Infestation_Pit,1
Drone,1
Bane,1
Overlord,1
Extractor,2
Creep_Tumor,5
Creep_Tumor,3
Drone,5
Carapace_Upgrade,1
Creep_Tumor,1
Drone,9
Spore_Crawler,1
Overseer,1
Bane,9
Grooved_Spines,1
Burrow,1
Creep_Tumor,1
Ling,14
Spore_Crawler,1
Drone,3
Creep_Tumor,5
Extractor,1
Lurker_Den,1
Creep_Tumor,2
Drone,1
Hive,1
Ling,24
Creep_Tumor,1
Melee_Attacks,1
Carapace_Upgrade,1
Muscular_Augments,1
Creep_Tumor,1
Drone,4
Hatch,1
Ling,14
Creep_Tumor,6
Carapace_Upgrade,1
Melee_Attacks,1
Ling,12
Bane,1
Bane,9
Overlord,5
Creep_Tumor,2
Ling,20
Creep_Tumor,6
Ling,16
Bane,6
Ling,6
Seismic_Spines,1
Adrenal_Glands,1
Viper,2
Creep_Tumor,6
Bane,4
Creep_Tumor,4
Ling,4
Extractor,2
Spore_Crawler,2
Drone,1
Hydra,1
Melee_Attacks,1
Drone,2
Creep_Tumor,3
Hydra,6
Creep_Tumor,4
Creep_Tumor,3
Hatch,1
Ling,6
Creep_Tumor,1
Ling,6
Adaptive_Talons,1
Creep_Tumor,5
Creep_Tumor,6
Creep_Tumor,2
Creep_Tumor,1
Bane,15
Creep_Tumor,1
Missile_Attacks,1
Carapace_Upgrade,1
Pathogen_Glands,1
Extractor,8
Creep_Tumor,1
Ling,38
Creep_Tumor,1
Creep_Tumor,4
Creep_Tumor,1
Ling,12
Ling,4
Bane,28
Creep_Tumor,3
Drone,1
Spore_Crawler,2
Creep_Tumor,12
Ling,18
Overseer,1
Creep_Tumor,1
Bane,8
Neural_Parasite,1
Drone,13
Creep_Tumor,1
Ling,16
Drone,1
Ling,36
Creep_Tumor,3
Bane,20
Drone,1
Creep_Tumor,11
Drone,13
Bane,1
Melee_Attacks,1
Drone,13
Ling,6
Carapace_Upgrade,4
Creep_Tumor,8
Ling,4
Drone,2
Creep_Tumor,2
Creep_Tumor,1
Creep_Tumor,2
Spore_Crawler,1
Seismic_Spines,2
Hatch,1
Bane,3
Ling,18
Missile_Attacks,1
Ling,18
