Production,Units
None,0
Drone,1
Overlord,1
Drone,1
Drone,2
Hatch,1
Drone,1
Drone,1
Drone,1
Extractor,1
Spawning_Pool,1
Drone,1
Drone,1
Drone,1
Drone,1
Queen,2
Ling,4
Overlord,1
Hatch,1
Drone,1
Drone,1
Drone,1
Drone,1
Metabolic_Boost,1
Queen,1
Overlord,1
Drone,1
Drone,2
Pneumatized_Carapace,1
Creep_Tumor,2
Drone,2
Overlord,1
Drone,2
Queen,1
Creep_Tumor,1
Creep_Tumor,1
Queen,1
Drone,1
Ling,2
Ling,4
Drone,3
Creep_Tumor,2
Ling,2
Drone,2
Overlord,1
Bane_Nest,1
Drone,2
Queen,1
Drone,1
Creep_Tumor,1
Creep_Tumor,1
Overlord,1
Creep_Tumor,1
Overlord,1
Lair,1
Extractor,1
Ling,4
Creep_Tumor,1
Queen,1
Drone,2
Creep_Tumor,2
Drone,3
Queen,1
Evo_Chamber,1
Ling,2
Drone,5
Creep_Tumor,1
Creep_Tumor,2
Drone,1
Overlord,1
Creep_Tumor,1
Drone,2
Creep_Tumor,1
Creep_Tumor,3
Creep_Tumor,2
Ling,2
Extractor,3
Spore_Crawler,3
Bane,3
Extractor,1
Creep_Tumor,1
Creep_Tumor,2
Drone,1
Spire,1
Queen,1
Creep_Tumor,1
Ling,4
Drone,2
Overlord,1
Drone,3
Overlord,1
Drone,2
Queen,2
Overseer,1
Drone,1
Overlord,1
Creep_Tumor,2
Creep_Tumor,3
Hatch,1
Creep_Tumor,2
Ling,8
Ling,12
Creep_Tumor,1
Overlord,1
Creep_Tumor,1
Hatch,1
Overlord,1
Creep_Tumor,1
Drone,4
Muta,7
Flyer_Attacks,1
Overlord,1
Creep_Tumor,3
Muta,3
Creep_Tumor,1
Hatch,1
Evo_Chamber,1
Drone,7
Infestation_Pit,1
Drone,8
Seismic_Spines,5
Centrifugal_Hooks,1
Extractor,1
Roach_Warren,1
Drone,1
Overlord,1
Extractor,1
Overlord,4
Missile_Attacks,1
Creep_Tumor,1
Spore_Crawler,1
Drone,2
Bane,3
Creep_Tumor,3
Drone,2
Overseer,1
Muta,4
Missile_Attacks,1
Overlord,2
Flyer_Attacks,1
Creep_Tumor,2
Drone,7
Ling,8
Extractor,2
Creep_Tumor,4
Flyer_Attacks,1
Ling,6
Swarm_Host,5
Drone,5
Swarm_Host,5
Creep_Tumor,1
Swarm_Host,1
Creep_Tumor,4
Swarm_Host,1
Spine_Crawler,2
Spore_Crawler,1
Flyer_Attacks,1
Spine_Crawler,2
Swarm_Host,1
Spore_Crawler,2
Creep_Tumor,3
Bane,15
Creep_Tumor,1
Spine_Crawler,1
Spine_Crawler,1
Bane,6
Ling,8
Evo_Chamber,1
Creep_Tumor,2
Creep_Tumor,1
Ling,26
Muta,5
Bane,2
Swarm_Host,2
Creep_Tumor,1
Glial_Reconstitution,1
Creep_Tumor,4
Creep_Tumor,1
Bane,10
Missile_Attacks,1
Melee_Attacks,1
Bane,10
Ling,12
Bane,6
Hive,1
Pathogen_Glands,1
Burrow,1
Creep_Tumor,3
Ling,24
Bane,12
Muta,8
Muta,1
Bane,18
Neural_Parasite,1
Flyer_Carapace,1
Hatch,1
Corruptor,8
Corruptor,4
Ling,32
Missile_Attacks,1
Hatch,1
Drone,4
Roach,3
Bane,22
Corruptor,1
Corruptor,2
Overlord,2
Ravager,3
Ling,16
Creep_Tumor,4
Carapace_Upgrade,1
Roach,15
Nydus,1
Ling,10
Queen,2
Great_Spire,1
Ravager,14
Drone,10
Nydus_Activating,1
Spine_Crawler,1
Spore_Crawler,1
Bane,9
Ling,12
Creep_Tumor,3
Nydus_Activating,1
Ling,16
Infestor,3
Flyer_Attacks,1
Creep_Tumor,5
Nydus_Activating,1
Overlord,1
Ling,2
Hatch,1
Infestor,1
Carapace_Upgrade,1
Melee_Attacks,1
Ling,18
Nydus_Activating,1
Spine_Crawler,1
Bane,3
Ling,12
Overseer,1
Hatch,1
Ling,20
Ling,3
Roach,2
Ling,17
Creep_Tumor,2
Bane,1
Ling,6
Bane,11
Spore_Crawler,1
Nydus_Activating,1
Drone,1
Creep_Tumor,1
Ling,2
Nydus_Activating,1
Ling,14
Extractor,2
Creep_Tumor,1
Bane,2
Ling,38
Roach,6
Corruptor,1
Corruptor,5
Hatch,1
Overseer,2
Bane,25
Ling,10
Ravager,6
Ling,14
Nydus_Activating,1
Overlord,1
Overlord,1
Nydus_Activating,1
Ling,20
Ling,12
Queen,1
Ling,2
Hatch,1
Bane,8
Flyer_Carapace,1
Ling,4
Ling,8
Nydus_Activating,1
Overseer,2
Broodlord,13
Drone,3
Infestor,4
Drone,3
Ling,8
Ling,4
Hatch,1
Ling,18
Roach,4
Roach,2
Roach,2
Ravager,7
Ling,10
Hatch,1
Ling,4
Roach,2
Seismic_Spines,7
Roach,2
Extractor,2
Infestor,2
Muta,9
Seismic_Spines,5
Ling,6
Ling,4
Flyer_Attacks,7
Queen,1
Ling,8
Ling,8
Ling,6
