Production,Units
None,0
Drone,1
Overlord,1
Drone,1
Drone,2
Hatch,1
Drone,1
Drone,1
Drone,1
Extractor,1
Spawning_Pool,1
Drone,1
Drone,1
Drone,1
Queen,2
Ling,2
Overlord,1
Drone,2
Metabolic_Boost,1
Ling,2
Hatch,1
Drone,1
Drone,1
Bane_Nest,1
Overlord,1
Drone,1
Drone,1
Queen,1
Ling,2
Drone,2
Overlord,1
Ling,2
Ling,4
Drone,1
Ling,2
Evo_Chamber,1
Drone,2
Drone,3
Creep_Tumor,1
Drone,2
Bane,1
Extractor,1
Roach_Warren,1
Missile_Attacks,1
Drone,1
Overlord,1
Drone,1
Creep_Tumor,1
Drone,1
Overlord,1
Overlord,1
Extractor,2
Lair,1
Drone,2
Roach,3
Drone,5
Drone,1
Drone,2
Overlord,1
Overlord,1
Roach,2
Drone,1
Drone,8
Glial_Reconstitution,1
Extractor,2
Overlord,1
Overseer,1
Roach,3
Roach,1
Roach,2
Evo_Chamber,1
Overlord,5
Roach,2
Roach,2
Drone,2
Overlord,2
Carapace_Upgrade,1
Missile_Attacks,1
Roach,1
Creep_Tumor,1
Roach,3
Roach,3
Hatch,1
Roach,1
Ravager,4
Roach,3
Pneumatized_Carapace,1
Roach,1
Flyer_Attacks,1
Burrow,1
Overlord,3
Overseer,1
Overlord,1
Overlord,1
Metabolic_Boost,1
Drone,2
Burrow,1
Roach,1
Overlord,1
Overlord,1
Roach,3
Metabolic_Boost,1
Drone,1
Overlord,1
Queen,1
Drone,1
Overlord,1
Burrow,1
Roach,3
Roach,4
Grooved_Spines,1
Hydra,1
Hydra,6
Hydra,3
Hydra,3
Spore_Crawler,1
Hydra,2
Spore_Crawler,2
Hydra,1
Roach,8
Spore_Crawler,1
Muscular_Augments,1
Roach,1
Roach,9
Roach,5
Roach,1
Extractor,1
Infestation_Pit,1
Carapace_Upgrade,1
Overlord,2
Ravager,2
Roach,1
Roach,4
Hive,1
Lurker_Den,1
Roach,10
Extractor,1
Roach,5
Drone,3
Ravager,2
Extractor,1
Lurker,7
Drone,3
Hydra,5
Lurker,9
Extractor,1
Roach,9
Seismic_Spines,1
Drone,2
Hydra,4
Hydra,8
Hydra,1
Adaptive_Talons,1
Overlord,1
Hydra,5
Drone,1
Viper,4
Drone,2
Hydra,2
Flyer_Carapace,10
Hydra,1
Hydra,1
Hydra,3
Overseer,1
Hydra,5
Overseer,1
Viper,2
Viper,2
Hydra,2
Drone,2
Drone,1
Overseer,1
Viper,1
Missile_Attacks,1
Lurker,4
Creep_Tumor,1
Drone,4
Creep_Tumor,1
Hydra,1
Hydra,3
Viper,3
Lurker,3
Hatch,1
Overlord,2
Hydra,2
Hydra,6
Hydra,3
Hydra,4
Overseer,1
Lurker,9
Creep_Tumor,1
Hydra,2
Hydra,1
Overlord,1
Drone,6
Seismic_Spines,12
Drone,1
Lurker,4
Hydra,5
Extractor,1
Extractor,1
Hydra,3
Spore_Crawler,1
Hydra,4
Hatch,1
Hydra,3
Hydra,1
Hydra,3
